iter	Passed	Remaining
1362	15291	1106567
1363	15305	1106770
1364	15319	1106947
1365	15331	1107040
1366	15344	1107125
1367	15354	1107072
1368	15364	1106953
1369	15376	1106951
1370	15386	1106903
1371	15397	1106828
1372	15407	1106757
1373	15420	1106842
1374	15431	1106827
1375	15445	1107010
1376	15456	1106989
1377	15467	1106984
1378	15479	1106992
1379	15488	1106873
1380	15504	1107167
1381	15519	1107426
1382	15543	1108357
1383	15563	1108955
1384	15581	1109452
1385	15594	1109570
1386	15608	1109747
1387	15622	1109927
1388	15638	1110204
1389	15652	1110443
1390	15665	1110535
1391	15676	1110511
1392	15689	1110641
1393	15700	1110565
1394	15710	1110492
1395	15725	1110755
1396	15736	1110730
1397	15749	1110781
1398	15759	1110708
1399	15770	1110680
1400	15779	1110539
1401	15792	1110596
1402	15803	1110588
1403	15813	1110474
1404	15822	1110347
1405	15832	1110233
1406	15842	1110146
1407	15852	1110002
1408	15862	1109919
1409	15875	1110002
1410	15884	1109891
1411	15894	1109748
1412	15903	1109571
1413	15912	1109440
1414	15922	1109337
1415	15931	1109183
1416	15942	1109148
1417	15952	1109017
1418	15961	1108862
1419	15970	1108686
1420	15979	1108545
1421	15988	1108347
1422	15997	1108214
1423	16007	1108103
1424	16016	1107942
1425	16027	1107905
1426	16037	1107824
1427	16048	1107813
1428	16060	1107803
1429	16070	1107696
1430	16079	1107576
1431	16095	1107850
1432	16112	1108282
1433	16126	1108465
1434	16141	1108703
1435	16154	1108801
1436	16165	1108744
1437	16178	1108856
1438	16189	1108846
1439	16200	1108833
1440	16210	1108706
1441	16221	1108677
1442	16231	1108608
1443	16242	1108583
1444	16253	1108531
1445	16264	1108490
1446	16273	1108353
1447	16285	1108375
1448	16295	1108298
1449	16310	1108560
1450	16321	1108503
1451	16332	1108457
1452	16341	1108351
1453	16351	1108217
1454	16361	1108125
1455	16372	1108080
1456	16382	1107972
1457	16392	1107928
1458	16402	1107816
1459	16411	1107678
1460	16421	1107587
1461	16430	1107409
1462	16440	1107294
1463	16449	1107143
1464	16458	1107006
1465	16468	1106897
1466	16478	1106786
1467	16491	1106868
1468	16500	1106707
1469	16510	1106608
1470	16519	1106478
1471	16531	1106502
1472	16542	1106505
1473	16553	1106464
1474	16563	1106363
1475	16572	1106212
1476	16582	1106091
1477	16591	1105955
1478	16602	1105904
1479	16610	1105732
1480	16620	1105628
1481	16629	1105465
1482	16639	1105334
1483	16648	1105211
1484	16658	1105117
1485	16670	1105145
1486	16682	1105175
1487	16695	1105275
1488	16708	1105434
1489	16722	1105563
1490	16733	1105568
1491	16743	1105474
1492	16753	1105365
1493	16764	1105317
1494	16773	1105161
1495	16782	1105003
1496	16791	1104886
1497	16800	1104723
1498	16809	1104566
1499	16820	1104530
1500	16831	1104520
1501	16841	1104449
